EnumTypesDirectory;EnumTypesFile;InteropEnumsDirectory;InteropEnumsFile;TypeNameSimilarityPercent;FieldsSimilarityPercent
Drawings\Text elements and properties;TextTabAlignment.cs;Core;MsoTextTabAlign.cs;85.71;88.89
Vml;Alignment.cs;Word;WdRowAlignment.cs;85.71;66.67
Drawings.Charts\Common\Analysis;ErrorType.cs;Core;XlErrorBarType.cs;85.71;40.0
Wordprocessing\Styles;BuiltInStyleType.cs;Word;WdBuiltinStyle.cs;85.71;31.25
Wordprocessing\Unused;ListLevelNumberStyle.cs;Word;WdListNumberStyle.cs;85.71;2.82
Wordprocessing\Unused;BulletStyle.cs;Core;MsoBulletType.cs;85.71;0.0
Drawings\Line properties;LineEndWidth.cs;Word;WdLineWidth.cs;85.71;0.0
Wordprocessing\Unused;NumberStyle.cs;Word;WdNumberType.cs;85.71;0.0
Drawings.Charts\Common\Axis;LabelAlignment.cs;Word;WdTabAlignment.cs;84.62;66.67
Wordprocessing\Paragraph properties;LineSpacingRule.cs;Word;WdLineSpacing.cs;84.62;22.22
Drawings.ChartDrawings;PageOrientation.cs;Core;MsoOrientation.cs;84.62;0.0
Wordprocessing\Document;PageOrientation.cs;Core;MsoOrientation.cs;84.62;0.0
Vml;ExtrusionType.cs;Core;MsoExtrusionColorType.cs;83.87;0.0
Drawings.ChartDrawings;GeoProjectionType.cs;Word;WdProtectionType.cs;83.87;0.0
Vml;OleType.cs;Word;WdOLEType.cs;83.33;80.0
Wordprocessing\Sdt;DateFormat.cs;Core;MsoDateTimeFormat.cs;83.33;0.0
Wordprocessing\Table properties;TableRowAlignment.cs;Word;WdRowAlignment.cs;82.76;100.0
Drawings.ChartDrawings;DataLabelPos.cs;Core;XlDataLabelPosition.cs;82.76;10.0
Drawings.Charts\Specific char types;BarDirection.cs;Core;XlErrorBarDirection.cs;82.76;0.0
Vml;FillKind.cs;Word;WdFieldKind.cs;82.35;0.0
Wordprocessing\Unused;SortField.cs;Word;WdSortFieldType.cs;81.82;66.67
Wordprocessing\Paragraph properties;TabStopLeader.cs;Word;WdTabLeader.cs;81.82;33.33
Drawings.Diagrams;Direction.cs;Core;MsoTextDirection.cs;81.82;0.0
Wordprocessing\Common;Direction.cs;Core;MsoTextDirection.cs;81.82;0.0
Drawings.Diagrams;ElementEType.cs;Core;MsoSegmentType.cs;81.82;0.0
Wordprocessing\Fields and hyperlinks;FieldCharType.cs;Word;WdFieldType.cs;81.82;0.0
Wordprocessing\Unused;FontProperties.cs;Core;DocProperties.cs;81.48;0.0
Wordprocessing\Mail merge;MailMergeData.cs;Word;WdMailMergeState.cs;81.48;0.0
Wordprocessing\Footnotes and endnotes;FootnotePosition.cs;Word;WdFootnoteLocation.cs;81.25;0.0
Wordprocessing.Vml;WrapSide.cs;Word;WdWrapSideType.cs;80.0;100.0
Wordprocessing.Drawings;LightRigDirection.cs;Core;MsoPresetLightingDirection.cs;80.0;88.89
Drawings\3D;LightRigDirection.cs;Core;MsoPresetLightingDirection.cs;80.0;88.89
Math;RowSpacingRule.cs;Word;WdOMathSpacingRule.cs;80.0;80.0
Wordprocessing\Sdt;Calendar.cs;Word;WdCalendarType.cs;80.0;38.46
Wordprocessing\Document;DocPartType.cs;Core;XlChartType.cs;80.0;0.0
Wordprocessing\Footnotes and endnotes;EndnotePosition.cs;Word;WdEndnoteLocation.cs;80.0;0.0
Drawings.Diagrams;HueDirection.cs;Core;MsoTextDirection.cs;80.0;0.0
Vml;RuleType.cs;Word;WdOLEType.cs;80.0;0.0
Drawings.Diagrams;StorageType.cs;Word;WdStoryType.cs;80.0;0.0
Wordprocessing\Run properties;VerticalPosition.cs;Word;WdRelativeVerticalPosition.cs;80.0;0.0
Wordprocessing\Headers and footers;HeaderFooterType.cs;Word;WdHeaderFooterIndex.cs;78.79;0.0
Wordprocessing\Fields and hyperlinks;TextBoxFormField.cs;Word;WdTextFormFieldType.cs;78.79;0.0
Wordprocessing\Document;SectionMarkType.cs;Word;WdSelectionType.cs;78.57;0.0
Drawings.Charts\Common\Axis;AxisPosition.cs;Core;MsoBarPosition.cs;78.26;72.73
Wordprocessing.Drawings;SizeRelativeHorizontally.cs;Word;WdRelativeHorizontalSize.cs;78.26;33.33
Drawings.Charts\Specific char types;ScatterStyle.cs;Word;WdGutterStyle.cs;78.26;0.0
Drawings.Charts\Common\Axis;Crosses.cs;Core;XlAxisCrosses.cs;77.78;57.14
CustomUI;BoxStyle.cs;Core;MsoComboStyle.cs;77.78;0.0
Wordprocessing\Document;DocumentProtectionType.cs;Word;WdProtectionType.cs;77.78;0.0
Math;RunStyle.cs;Word;WdRulerStyle.cs;77.78;0.0
Wordprocessing.Drawings;PenAlignment.cs;Word;WdPageNumberAlignment.cs;77.42;28.57
Drawings\Line properties;PenAlignment.cs;Word;WdPageNumberAlignment.cs;77.42;28.57
Wordprocessing\Unused;DateStorageFormat.cs;Core;MsoDateTimeFormat.cs;77.42;0.0
Wordprocessing\Document;TargetScreenSize.cs;Core;MsoScreenSize.cs;76.92;100.0
Drawings\Background properties;TargetScreenSize.cs;Core;MsoScreenSize.cs;76.92;100.0
Drawings.Charts\Formatting;Shape.cs;Core;XlBarShape.cs;76.92;50.0
Wordprocessing\Unused;Comparison.cs;Core;MsoFilterComparison.cs;76.92;25.0
Math;FractionType.cs;Core;MsoReflectionType.cs;76.92;0.0
Wordprocessing\Table properties;TableLayout.cs;Core;MsoCalloutType.cs;76.92;0.0
Wordprocessing\Run properties;TextEffect.cs;Core;MsoPresetTextEffect.cs;76.92;0.0
Colors;ThemeColors.cs;Core;MsoThemeColorIndex.cs;76.92;0.0
Wordprocessing\Common;ProofingError.cs;Word;WdProofreadingErrorType.cs;76.47;0.0
Drawings.ChartDrawings;TickMarksType.cs;Core;XlTickMark.cs;76.19;50.0
Wordprocessing.Drawings;SizeRelativeVertically.cs;Word;WdRelativeVerticalSize.cs;76.19;33.33
Wordprocessing\Fields and hyperlinks;InfoTextType.cs;Word;WdIndexType.cs;76.19;0.0
Wordprocessing\Unused;InteropStyle.cs;Core;MsoLineStyle.cs;76.19;0.0
Drawings.ChartDrawings;FormulaDirection.cs;Word;WdFlowDirection.cs;75.86;0.0
Wordprocessing\Document;PageBorderOffset.cs;Word;WdPageBorderArt.cs;75.86;0.0
Wordprocessing\Document;PageBorderZOrder.cs;Word;WdPageBorderArt.cs;75.86;0.0
Wordprocessing\Unused;TwoLinesInOneBracket.cs;Word;WdTwoLinesInOneType.cs;75.68;90.91
Vml;StrokeLineStyle.cs;Core;MsoLineStyle.cs;75.0;90.91
Drawings\Effects;RectangleAlignment.cs;Word;WdVerticalAlignment.cs;74.29;46.15
Wordprocessing.Drawings;RectangleAlignment.cs;Word;WdVerticalAlignment.cs;74.29;42.86
Wordprocessing\Numbering;LevelJustification.cs;Word;WdJustificationMode.cs;74.29;0.0
Drawings.Charts\Common;PageSetupOrientation.cs;Core;MsoTextOrientation.cs;74.29;0.0
Wordprocessing\Frames and framesets;DropCapLocation.cs;Word;WdDropPosition.cs;74.07;66.67
Math;LimitLocation.cs;Core;MsoScriptLocation.cs;74.07;0.0
Drawings\Line properties;LineEndLength.cs;Word;WdLineEndingType.cs;74.07;0.0
Drawings\Fill types;PresetPattern.cs;Core;MsoPresetMaterial.cs;74.07;0.0
Wordprocessing.Drawings;LineCap.cs;Core;MsoLineCapStyle.cs;73.68;85.71
Drawings\Line properties;LineCap.cs;Core;MsoLineCapStyle.cs;73.68;85.71
Wordprocessing\Bibliography;SourceType.cs;Core;XlScaleType.cs;73.68;0.0
Wordprocessing\Unused;ListLevelPosition.cs;Word;WdTablePosition.cs;73.33;60.0
Wordprocessing\Document;DocPartGalleryType.cs;Word;XlChartGallery.cs;73.33;0.0
Wordprocessing\Document;PageBorderDisplay.cs;Word;WdPageBorderArt.cs;73.33;0.0
Wordprocessing\Sdt;SdtAppearance.cs;Word;XlPictureAppearance.cs;73.33;0.0
Wordprocessing\Numbering;MultiLevel.cs;Word;WdOutlineLevel.cs;72.73;0.0
Drawings\Effects;EffectContainment.cs;Core;MsoTextEffectAlignment.cs;72.22;0.0
Wordprocessing\Mail merge;MailMergeDocument.cs;Word;WdMailMergeDataSource.cs;72.22;0.0
Drawings.Diagrams;ConstraintType.cs;Core;MsoControlType.cs;72.0;0.0
Vml;StrokeJoinStyle.cs;Core;MsoLineJoinStyle.cs;71.43;85.71
Wordprocessing\Unused;Index.cs;Word;WdIndexType.cs;71.43;16.67
Wordprocessing\Document;CharacterSpacing.cs;Core;MsoCharacterSet.cs;71.43;0.0
Drawings.Charts\Common;ChartBuildStep.cs;Core;MsoChartFieldType.cs;71.43;0.0
Common properties;DocumentSecurity.cs;Word;WdDocumentType.cs;71.43;0.0
Common properties;HyperlinkAction.cs;Core;MsoHyperlinkType.cs;71.43;0.0
Drawings.ChartDrawings;PosAlign.cs;Core;XlHAlign.cs;71.43;0.0
Drawings\Shape properties;Shapes.cs;Core;XlBarShape.cs;71.43;0.0
CustomUI;Style.cs;Core;MsoLineStyle.cs;71.43;0.0
Wordprocessing\Document;ChapterSeparator.cs;Word;XlDataLabelSeparator.cs;70.59;0.0
Wordprocessing\Unused;DateItem.cs;Core;XlChartItem.cs;70.59;0.0
Drawings.Diagrams;PointType.cs;Core;MsoIconType.cs;70.59;0.0
Drawings\Text elements and properties;TextShape.cs;Core;MsoTextCaps.cs;70.59;0.0
Wordprocessing\Document;CryptProvider.cs;Core;EncryptionProviderDetail.cs;70.27;0.0
Wordprocessing\Mail merge;MailMergeOdsoField.cs;Word;WdMailMergeDataSource.cs;70.27;0.0
Wordprocessing.Drawings;BevelPreset.cs;Core;MsoBevelType.cs;70.0;92.31
Drawings.Charts\Specific char types;RadarStyle.cs;Word;WdRulerStyle.cs;70.0;0.0
Wordprocessing\Unused;SchemeColor.cs;Word;WdCellColor.cs;70.0;0.0
