InteropEnumsFullName,EnumTypesFullName
DocumentModel.Interop.Word.WdListNumberStyleHID,DocumentModel.Wordprocessing.ListLevelNumberStyle
DocumentModel.Interop.Word.WdNumberType,DocumentModel.Wordprocessing.NumberStyle
DocumentModel.Interop.Word.WdRowAlignment,DocumentModel.Vml.Alignment
MsoBulletType,DocumentModel.Wordprocessing.BulletStyle
MsoShadowStyle,DocumentModel.Vml.ShadowType
MsoTextTabAlign,DocumentModel.Drawings.TextTabAlignment
DocumentModel.Interop.Word.WdLineSpacing,DocumentModel.Wordprocessing.LineSpacingRule
DocumentModel.Interop.Word.WdNoteNumberStyle,DocumentModel.Wordprocessing.NumberStyle
DocumentModel.Interop.Word.WdNoteNumberStyleHID,DocumentModel.Wordprocessing.NumberStyle
DocumentModel.Interop.Word.WdPageNumberStyle,DocumentModel.Wordprocessing.NumberStyle
DocumentModel.Interop.Word.WdPageNumberStyleHID,DocumentModel.Wordprocessing.NumberStyle
DocumentModel.Interop.Word.WdLineType,DocumentModel.Drawings.LineEndType
DocumentModel.Interop.Word.WdViewTypeOld,DocumentModel.Wordprocessing.ViewType
DocumentModel.Interop.Word.WdProtectionType,DocumentModel.Drawings.ChartDrawings.GeoProjectionType
MsoExtrusionColorType,DocumentModel.Vml.ExtrusionType
DocumentModel.Interop.Word.WdOLEType,DocumentModel.Vml.OleType
MsoDateTimeFormat,DocumentModel.Wordprocessing.DateFormat
MsoTextEffectAlignment,DocumentModel.Drawings.TextFontAlignment
DocumentModel.Interop.Word.WdFieldKind,DocumentModel.Vml.FillKind
DocumentModel.Interop.Word.WdFieldType,DocumentModel.Vml.FillType
DocumentModel.Interop.Core.MsoConnector,DocumentModel.Vml.ConnectorType
DocumentModel.Interop.Word.WdFlowDirection,DocumentModel.Drawings.Diagrams.Direction
DocumentModel.Interop.Word.WdGoToDirection,DocumentModel.Drawings.Diagrams.Direction
DocumentModel.Interop.Word.WdSortFieldType,DocumentModel.Wordprocessing.SortField
DocumentModel.Interop.Word.WdSortFieldTypeHID,DocumentModel.Wordprocessing.SortField
DocumentModel.Interop.Word.WdUnderline,DocumentModel.Wordprocessing.UnderlineType
MsoSegmentType,DocumentModel.Drawings.Diagrams.ElementType
MsoSyncErrorType,DocumentModel.Drawings.Charts.ErrorType
DocumentModel.Interop.Core.DocProperties,DocumentModel.Wordprocessing.FontProperties
DocumentModel.Interop.Core.XlChartOrientation,DocumentModel.Drawings.Charts.Orientation
DocumentModel.Interop.Word.WdMailMergeState,DocumentModel.Wordprocessing.MailMergeData
DocumentModel.Interop.Word.WdTableDirection,DocumentModel.Wordprocessing.TextDirection
MsoChartElementType,DocumentModel.Drawings.Diagrams.ElementType
MsoDocProperties,DocumentModel.Wordprocessing.FontProperties
DocumentModel.Interop.Word.WdFootnoteLocation,DocumentModel.Wordprocessing.FootnotePosition
DocumentModel.Interop.Core.XlTickLabelOrientation,DocumentModel.Drawings.Charts.TickLabelPosition
DocumentModel.Interop.Word.XlTickLabelOrientation,DocumentModel.Drawings.Charts.TickLabelPosition
DocumentModel.Interop.Core.XlChartType,DocumentModel.Wordprocessing.DocPartType
DocumentModel.Interop.Word.WdCalendarType,DocumentModel.Wordprocessing.Calendar
DocumentModel.Interop.Word.WdEndnoteLocation,DocumentModel.Wordprocessing.EndnotePosition
DocumentModel.Interop.Word.WdOMathSpacingRule,RowSpacingRule
DocumentModel.Interop.Word.WdRelativeVerticalPosition,DocumentModel.Wordprocessing.VerticalPosition
DocumentModel.Interop.Word.WdSaveFormat,DocumentModel.Wordprocessing.DateFormat
DocumentModel.Interop.Word.WdTablePosition,DocumentModel.Drawings.Charts.DataLabelPosition
DocumentModel.Interop.Word.WdThemeColorIndex,DocumentModel.Wordprocessing.ColorIndex
DocumentModel.Interop.Word.WdWrapSideType,DocumentModel.Wordprocessing.Vml.WrapSide
MsoBarProtection,DocumentModel.Drawings.Charts.BarDirection
MsoLineFillType,DocumentModel.Vml.FillType
MsoPathFormat,DocumentModel.Wordprocessing.DateFormat
MsoPresetLightingDirection,DocumentModel.Wordprocessing.Drawings.LightRigDirection
MsoThemeColorIndex,DocumentModel.Wordprocessing.ColorIndex
DocumentModel.Interop.Word.WdCompareDestination,DocumentModel.Wordprocessing.MailMergeDestination
DocumentModel.Interop.Word.WdHeaderFooterIndex,DocumentModel.Wordprocessing.HeaderFooterType
DocumentModel.Interop.Word.WdTextFormFieldType,DocumentModel.Wordprocessing.TextBoxFormField
DocumentModel.Interop.Word.WdSelectionType,DocumentModel.Wordprocessing.SectionMarkType
DocumentModel.Interop.Word.WdGutterStyle,DocumentModel.Drawings.Charts.ScatterStyle
DocumentModel.Interop.Word.WdLetterStyle,DocumentModel.Drawings.Charts.ScatterStyle
DocumentModel.Interop.Word.WdMovementType,DocumentModel.Drawings.Diagrams.ElementType
DocumentModel.Interop.Word.WdRelativeHorizontalSize,DocumentModel.Wordprocessing.Drawings.SizeRelativeHorizontally
MsoBarPosition,DocumentModel.Drawings.Charts.AxisPosition
DocumentModel.Interop.Core.XlAxisCrosses,DocumentModel.Drawings.Charts.Crosses
DocumentModel.Interop.Core.XlScaleType,DocumentModel.Wordprocessing.StyleType
DocumentModel.Interop.Word.WdRulerStyle,DocumentModel.Math.RunStyle
DocumentModel.Interop.Word.XlAxisCrosses,DocumentModel.Drawings.Charts.Crosses
DocumentModel.Interop.Word.XlScaleType,DocumentModel.Wordprocessing.StyleType
MsoComboStyle,DocumentModel.CustomUI.BoxStyle
MsoModeType,DocumentModel.Vml.BorderType
DocumentModel.Interop.Word.WdPageNumberAlignment,DocumentModel.Wordprocessing.Drawings.PenAlignment
MsoMetaPropertyType,DocPropertyType
DocumentModel.Interop.Core.XlBarShape,DocumentModel.Drawings.Charts.Shape
DocumentModel.Interop.Core.XlDataLabelsType,DocumentModel.Drawings.ChartDrawings.DataLabelPos
DocumentModel.Interop.Word.WdDocumentDirection,DocumentModel.Wordprocessing.DocumentProtectionType
DocumentModel.Interop.Word.WdHelpType,DocumentModel.Vml.OleType
