EnumTypesFullName,InteropEnumsFullName
DocumentModel.Wordprocessing.LevelJustification,DocumentModel.Interop.Word.WdJustificationMode
DocumentModel.Drawings.LineEndLength,DocumentModel.Interop.Word.WdLineEndingType
DocumentModel.Drawings.PresetPattern,MsoPresetMaterial
DocumentModel.Math.LimitLocation,DocumentModel.Interop.Core.MsoScriptLocation
DocumentModel.Wordprocessing.DropCapLocation,DocumentModel.Interop.Word.WdDropPosition
DocumentModel.Drawings.LineCap,MsoLineCapStyle
DocumentModel.Wordprocessing.Drawings.LineCap,MsoLineCapStyle
DocumentModel.Wordprocessing.SourceType,DocumentModel.Interop.Core.XlScaleType
DocumentModel.Wordprocessing.DocPartGalleryType,DocumentModel.Interop.Word.XlChartGallery
DocumentModel.Wordprocessing.ListLevelPosition,DocumentModel.Interop.Word.WdTablePosition
DocumentModel.Wordprocessing.NumberStyleKind,DocumentModel.Interop.Word.WdListNumberStyle
DocumentModel.Wordprocessing.PageBorderDisplay,DocumentModel.Interop.Word.WdPageBorderArt
DocumentModel.Wordprocessing.SdtAppearance,DocumentModel.Interop.Word.XlPictureAppearance
DocumentModel.Wordprocessing.MultiLevel,DocumentModel.Interop.Word.WdOutlineLevel
DocumentModel.Drawings.EffectContainment,MsoTextEffectAlignment
DocumentModel.Wordprocessing.MailMergeDocument,DocumentModel.Interop.Word.WdMailMergeDataSource
DocumentModel.Drawings.Diagrams.ConstraintType,MsoControlType
DocumentModel.Wordprocessing.BulletStyleKind,MsoBulletType
DocumentModel.CustomUI.Style,MsoLineStyle
DocumentModel.Drawings.ChartBuildStep,MsoChartFieldType
DocumentModel.Drawings.ChartDrawings.PosAlign,DocumentModel.Interop.Core.XlHAlign
DocumentModel.Drawings.Shapes,DocumentModel.Interop.Core.XlBarShape
DocumentModel.Vml.StrokeJoinStyle,MsoLineJoinStyle
DocumentModel.Wordprocessing.CharacterSpacing,MsoCharacterSet
DocumentModel.Wordprocessing.Index,DocumentModel.Interop.Word.WdIndexType
DocumentSecurity,DocumentModel.Interop.Word.WdDocumentType
HyperlinkAction,MsoHyperlinkType
DocumentModel.Wordprocessing.FontPropertiesKind,DocumentModel.Interop.Core.DocProperties
DocumentModel.Drawings.Diagrams.PointType,MsoIconType
DocumentModel.Drawings.TextShape,MsoTextCaps
DocumentModel.Wordprocessing.ChapterSeparator,DocumentModel.Interop.Word.XlDataLabelSeparator
DocumentModel.Wordprocessing.DateItem,DocumentModel.Interop.Core.XlChartItem
DocumentModel.Wordprocessing.CryptProvider,EncryptionProviderDetail
DocumentModel.Wordprocessing.MailMergeOdsoField,DocumentModel.Interop.Word.WdMailMergeDataSource
DocumentModel.Drawings.Charts.RadarStyle,DocumentModel.Interop.Word.WdRulerStyle
DocumentModel.Wordprocessing.Drawings.BevelPreset,MsoBevelType
DocumentModel.Wordprocessing.SchemeColor,DocumentModel.Interop.Word.WdCellColor
UnitKind,DocumentModel.Interop.Word.WdDocumentKind
