"File","Line","Kind","AttrArgs","PropertyType","Property","Field"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","114","Property","nameof(DXO10CUI.BackstageEditBox.OnChange)","String?","OnChange","_OnChange"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","121","Property","nameof(DXO10CUI.BackstageEditBox.MaxLength)","int?","MaxLength","_MaxLength"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","128","Property","nameof(DXO10CUI.BackstageEditBox.SizeString)","String?","SizeString","_SizeString"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","16","Property","nameof(DXO10CUI.BackstageFastCommandButton.IdMso)","String?","IdMso","_IdMso"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","23","Property","nameof(DXO10CUI.BackstageFastCommandButton.InsertAfterMso)","String?","InsertAfterMso","_InsertAfterMso"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","30","Property","nameof(DXO10CUI.BackstageFastCommandButton.InsertBeforeMso)","String?","InsertBeforeMso","_InsertBeforeMso"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","37","Property","nameof(DXO10CUI.BackstageFastCommandButton.InsertAfterQulifiedId)","String?","InsertAfterQualifiedId","_InsertAfterQualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","44","Property","nameof(DXO10CUI.BackstageFastCommandButton.InsertBeforeQulifiedId)","String?","InsertBeforeQualifiedId","_InsertBeforeQualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","51","Property","nameof(DXO10CUI.BackstageFastCommandButton.Id)","String?","Id","_Id"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","58","Property","nameof(DXO10CUI.BackstageFastCommandButton.QualifiedId)","String?","QualifiedId","_QualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","65","Property","nameof(DXO10CUI.BackstageFastCommandButton.Tag)","String?","Tag","_Tag"
