"File","DeclaringType","Property","Kind","Line"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","NonVisualPictureProperties","Element","44"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","Published","Property","30"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","ShapeProperties","Element","58"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","Style","Element","37"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","LockText","Property","37"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","Macro","Property","23"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","NonVisualShapeProperties","Element","51"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","Published","Property","44"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","ShapeProperties","Element","58"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","Style","Element","65"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","TextBody","Element","72"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","TextLink","Property","30"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\TextBody.cs","TextBody","BodyProperties","Element","22"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\TextBody.cs","TextBody","ListStyle","Element","29"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\TextBody.cs","TextBody","Paragraph","Element","36"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectionShapeProperties.cs","NonVisualConnectionShapeProperties","ConnectionShapeLocks","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectionShapeProperties.cs","NonVisualConnectionShapeProperties","EndConnection","Property","28"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectionShapeProperties.cs","NonVisualConnectionShapeProperties","StartConnection","Property","21"
